13:26.980	13:20.390	13:24.250	13:24.720	13:24.485
13:27.550	13:30.500	13:25.780	13:34.280	13:27.690
13:28.020	13:31.590	13:27.230	13:37.230	13:30.075
13:32.380	13:34.420	13:33.880	13:37.450	13:33.130
13:33.280	13:34.960	13:34.780	13:37.770	13:34.485
13:33.560	13:36.220	13:35.200	13:38.150	13:35.475
13:34.740	13:36.770	13:36.790	13:38.680	13:36.395
13:36.910	13:36.810	13:37.240	13:40.660	13:37.450
13:37.680	13:37.050	13:37.560	13:41.170	13:40.170
13:38.920	13:39.060	13:37.890	13:42.640	13:41.450
13:39.110	13:41.870	13:38.190	13:43.270	13:42.125
13:39.340	13:45.250	13:39.420	13:44.560	13:44.905
13:41.440	13:45.330	13:41.770	13:45.450	13:45.390
13:44.810	13:45.820	13:41.810	13:46.090	13:45.955
13:45.270	13:45.830	13:42.060	13:46.140	13:45.985
13:45.620	13:46.640	13:42.170	13:46.240	13:46.440
13:46.770	13:48.130	13:42.550	13:46.800	13:47.465
13:47.280	13:49.340	13:43.040	13:48.320	13:48.560
13:48.740	13:50.100	13:43.060	13:49.550	13:49.200
13:48.970	13:50.310	13:43.490	13:49.680	13:49.515
13:49.260	13:50.350	13:44.230	13:50.000	13:49.780
13:49.280	13:50.640	13:44.390	13:50.080	13:50.015
13:49.990	13:51.200	13:46.950	13:52.060	13:50.685
13:50.550	13:51.300	13:47.400	13:52.590	13:50.925
13:52.400	13:51.540	13:48.560	13:52.650	13:51.970
13:52.430	13:51.720	13:48.880	13:52.730	13:52.075
13:53.480	13:51.820	13:49.350	13:53.050	13:52.540
13:54.480	13:51.860	13:49.440	13:53.590	13:52.825
13:55.160	13:51.870	13:49.460	13:53.800	13:53.975
13:55.560	13:51.930	13:50.090	13:54.660	13:54.495
13:55.570	13:52.400	13:50.820	13:54.680	13:55.005
13:55.770	13:53.110	13:50.880	13:55.120	13:55.445
13:55.910	13:53.380	13:51.350	13:56.160	13:56.035
13:56.000	13:53.520	13:51.790	13:56.450	13:56.225
13:56.870	13:53.740	13:52.290	13:56.610	13:56.740
13:56.950	13:53.780	13:52.520	13:56.800	13:56.875
13:57.070	13:54.310	13:53.150	13:56.850	13:56.960
13:57.210	13:54.400	13:53.190	13:57.360	13:57.285
13:57.310	13:54.440	13:53.300	13:57.550	13:57.430
13:57.490	13:55.180	13:53.530	13:57.580	13:57.535
13:57.620	13:55.410	13:54.150	13:57.810	13:57.715
13:59.100	13:55.490	13:54.220	13:58.090	13:58.595
