1:46.140	1:45.780	1:44.630	1:43.730	1:45.485
1:46.990	1:46.170	1:44.990	1:45.710	1:45.940
1:47.510	1:46.490	1:45.590	1:45.820	1:46.460
1:47.730	1:46.870	1:45.780	1:46.700	1:47.285
1:47.730	1:47.560	1:46.050	1:47.280	1:47.635
1:48.150	1:47.590	1:46.150	1:47.310	1:47.670
1:48.300	1:47.680	1:46.190	1:47.390	1:47.790
1:48.400	1:47.730	1:46.420	1:47.510	1:47.940
1:48.490	1:47.750	1:46.670	1:47.510	1:47.960
1:48.530	1:47.910	1:46.690	1:47.630	1:48.070
1:48.620	1:47.970	1:46.690	1:47.660	1:48.105
1:48.620	1:48.140	1:46.710	1:47.690	1:48.290
1:48.790	1:48.140	1:46.730	1:47.930	1:48.340
1:49.010	1:48.140	1:46.810	1:48.090	1:48.350
1:49.050	1:48.150	1:46.840	1:48.220	1:48.450
1:49.170	1:48.180	1:46.900	1:48.530	1:48.605
1:49.170	1:48.340	1:46.920	1:48.600	1:48.665
1:49.210	1:48.520	1:46.960	1:48.650	1:48.715
1:49.210	1:48.530	1:47.060	1:48.680	1:48.745
1:49.290	1:48.530	1:47.110	1:48.720	1:48.780
1:49.320	1:48.540	1:47.240	1:48.770	1:48.810
1:49.330	1:48.600	1:47.290	1:48.830	1:48.850
1:49.410	1:48.800	1:47.300	1:48.900	1:48.890
1:49.500	1:48.880	1:47.310	1:48.970	1:48.940
1:49.500	1:48.900	1:47.320	1:48.980	1:48.945
1:49.510	1:48.970	1:47.340	1:49.070	1:49.030
1:49.550	1:48.990	1:47.430	1:49.090	1:49.050
1:49.580	1:49.040	1:47.520	1:49.110	1:49.075
1:49.580	1:49.040	1:47.530	1:49.200	1:49.165
1:49.590	1:49.100	1:47.550	1:49.240	1:49.185
1:49.620	1:49.110	1:47.570	1:49.250	1:49.245
1:49.640	1:49.150	1:47.580	1:49.300	1:49.285
1:49.690	1:49.240	1:47.620	1:49.300	1:49.320
1:49.700	1:49.380	1:47.720	1:49.310	1:49.380
1:49.710	1:49.440	1:47.890	1:49.460	1:49.450
1:49.730	1:49.480	1:47.910	1:49.470	1:49.475
1:49.770	1:49.640	1:47.960	1:49.680	1:49.595
1:49.790	1:49.640	1:48.000	1:49.710	1:49.600
1:49.790	1:49.650	1:48.010	1:49.710	1:49.625
1:49.800	1:49.750	1:48.030	1:49.730	1:49.695
1:49.870	1:49.810	1:48.040	1:49.730	1:49.700
1:49.870	1:49.850	1:48.190	1:49.790	1:49.730
1:49.900	1:49.850	1:48.200	1:49.820	1:49.745
1:49.970	1:49.910	1:48.200	1:49.830	1:49.765
1:50.010	1:49.920	1:48.300	1:49.840	1:49.775
1:50.010	1:49.960	1:48.420	1:49.860	1:49.805
1:50.020	1:49.970	1:48.420	1:49.860	1:49.815
1:50.020	1:49.970	1:48.430	1:49.860	1:49.840
1:50.040	1:50.040	1:48.460	1:49.940	1:49.880
1:50.080	1:50.050	1:48.480	1:49.940	1:49.890
1:50.090	1:50.080	1:48.520	1:49.950	1:49.905
1:50.100	1:50.090	1:48.520	1:49.990	1:49.965
1:50.120	1:50.120	1:48.540	1:50.030	1:49.995
1:50.150	1:50.130	1:48.540	1:50.070	1:50.035
1:50.220	1:50.140	1:48.550	1:50.100	1:50.065
1:50.240	1:50.160	1:48.550	1:50.120	1:50.090
1:50.290	1:50.160	1:48.580	1:50.140	1:50.120
1:50.300	1:50.200	1:48.600	1:50.170	1:50.140
1:50.330	1:50.260	1:48.610	1:50.190	1:50.165
1:50.330	1:50.290	1:48.660	1:50.240	1:50.210
1:50.360	1:50.290	1:48.690	1:50.260	1:50.240
1:50.380	1:50.340	1:48.700	1:50.280	1:50.310
1:50.400	1:50.360	1:48.780	1:50.440	1:50.370
1:50.410	1:50.360	1:48.860	1:50.440	1:50.380
1:50.430	1:50.370	1:48.860	1:50.480	1:50.390
1:50.430	1:50.370	1:48.890	1:50.540	1:50.395
1:50.460	1:50.410	1:48.900	1:50.540	1:50.415
1:50.480	1:50.410	1:48.940	1:50.550	1:50.420
1:50.480	1:50.440	1:49.030	1:50.590	1:50.435
1:50.500	1:50.450	1:49.070	1:50.600	1:50.475
1:50.510	1:50.480	1:49.070	1:50.640	1:50.495
1:50.510	1:50.490	1:49.080	1:50.660	1:50.525
1:50.600	1:50.490	1:49.090	1:50.660	1:50.565
1:50.600	1:50.540	1:49.120	1:50.670	1:50.585
1:50.630	1:50.620	1:49.140	1:50.680	1:50.605
1:50.650	1:50.720	1:49.150	1:50.720	1:50.630
1:50.750	1:50.720	1:49.160	1:50.740	1:50.675
1:50.750	1:50.720	1:49.180	1:50.750	1:50.690
1:50.790	1:50.730	1:49.190	1:50.760	1:50.720
1:50.800	1:50.790	1:49.210	1:50.790	1:50.750
1:50.870	1:50.800	1:49.230	1:50.860	1:50.765
1:50.880	1:50.840	1:49.260	1:50.910	1:50.860
1:50.880	1:50.860	1:49.300	1:50.920	1:50.870
1:50.880	1:50.870	1:49.310	1:50.940	1:50.875
1:50.930	1:50.870	1:49.350	1:50.980	1:50.900
1:50.950	1:50.900	1:49.350	1:50.990	1:50.925
1:50.980	1:50.960	1:49.400	1:51.040	1:50.960
1:51.050	1:51.010	1:49.400	1:51.140	1:51.015
1:51.050	1:51.030	1:49.450	1:51.160	1:51.030
1:51.070	1:51.050	1:49.510	1:51.180	1:51.055
1:51.120	1:51.050	1:49.530	1:51.180	1:51.075
1:51.130	1:51.050	1:49.570	1:51.200	1:51.075
1:51.140	1:51.070	1:49.570	1:51.230	1:51.100
1:51.150	1:51.110	1:49.670	1:51.230	1:51.125
1:51.150	1:51.130	1:49.670	1:51.240	1:51.140
