8:30.540	8:23.930	8:28.770	8:39.300	8:34.960
8:37.540	8:36.980	8:33.090	8:39.830	8:37.540
8:40.120	8:39.700	8:34.230	8:40.540	8:40.175
8:43.240	8:41.440	8:34.460	8:43.050	8:41.585
8:45.950	8:43.770	8:38.590	8:44.860	8:43.780
8:47.320	8:45.710	8:39.100	8:45.550	8:45.965
8:47.560	8:45.910	8:39.260	8:47.180	8:46.950
8:49.090	8:46.350	8:39.580	8:48.220	8:47.445
8:50.350	8:46.480	8:39.820	8:48.240	8:47.935
8:50.450	8:46.490	8:40.030	8:48.880	8:48.565
8:50.490	8:46.530	8:40.430	8:48.920	8:49.060
8:50.790	8:48.570	8:40.730	8:49.440	8:49.590
8:51.050	8:48.680	8:40.770	8:49.480	8:49.735
8:51.620	8:48.910	8:40.880	8:49.700	8:50.150
8:51.740	8:48.930	8:41.240	8:49.710	8:50.250
8:51.960	8:49.650	8:41.470	8:50.610	8:50.730
8:52.380	8:50.130	8:41.940	8:50.870	8:51.410
8:53.130	8:50.740	8:43.000	8:51.400	8:51.745
8:53.700	8:50.960	8:43.060	8:51.780	8:52.085
8:53.750	8:51.240	8:43.190	8:52.440	8:52.530
8:53.860	8:51.470	8:43.640	8:52.680	8:52.740
8:54.120	8:51.690	8:44.470	8:53.150	8:53.580
8:54.410	8:52.150	8:44.880	8:53.350	8:54.270
8:55.910	8:52.410	8:45.430	8:53.510	8:54.720
8:55.970	8:52.450	8:45.820	8:53.680	8:55.035
8:56.050	8:53.580	8:46.260	8:54.040	8:55.190
8:56.590	8:53.910	8:46.470	8:54.290	8:55.470
8:56.610	8:53.940	8:46.690	8:54.370	8:55.675
8:57.200	8:55.090	8:46.950	8:55.290	8:56.155
8:57.310	8:55.200	8:47.560	8:55.500	8:56.405
8:57.330	8:55.850	8:47.760	8:56.540	8:56.935
8:57.400	8:55.920	8:47.810	8:56.780	8:57.090
8:57.660	8:56.120	8:48.030	8:57.060	8:57.360
8:57.940	8:56.160	8:48.070	8:57.340	8:57.640
8:58.140	8:56.170	8:48.480	8:57.350	8:57.745
8:59.130	8:56.230	8:48.800	8:57.700	8:58.035
8:59.180	8:56.310	8:49.280	8:57.770	8:58.215
8:59.290	8:56.570	8:49.930	8:57.840	8:58.295
8:59.290	8:56.810	8:50.040	8:57.890	8:58.420
8:59.860	8:57.130	8:50.370	8:57.890	8:58.430
8:59.930	8:57.720	8:50.380	8:58.160	8:58.590
8:59.940	8:57.980	8:50.400	8:58.790	8:58.930
8:59.990	8:58.160	8:50.560	8:58.900	8:59.185
9:00.060	8:58.530	8:50.610	8:59.000	8:59.335
9:00.120	8:58.610	8:51.040	8:59.220	8:59.570
9:00.160	8:59.600	8:51.590	8:59.830	9:00.010
9:01.370	8:59.690	8:51.630	8:59.850	9:01.030
9:01.750	8:59.770	8:51.940	8:59.860	9:01.340
9:01.830	8:59.960	8:52.110	9:00.510	9:01.450
9:02.070	9:00.020	8:52.130	9:01.450	9:01.730
9:02.130	9:00.140	8:52.280	9:02.630	9:02.080
9:02.190	9:00.190	8:52.360	9:03.510	9:02.125
9:02.270	9:00.460	8:52.500	9:03.700	9:02.220
9:02.370	9:00.730	8:52.680	9:03.780	9:02.285
9:02.560	9:01.940	8:52.770	9:03.790	9:02.670
9:02.620	9:02.190	8:52.860	9:04.470	9:02.840
9:03.470	9:02.580	8:53.020	9:04.490	9:03.895
9:04.380	9:02.590	8:53.640	9:04.610	9:04.385
9:04.910	9:02.800	8:54.100	9:04.670	9:04.790
9:04.960	9:03.130	8:54.530	9:05.130	9:05.045
9:05.010	9:03.340	8:54.590	9:05.130	9:05.070
